"Title","Author","Description","Body","Date posted","Minimum Participants","Maximum Participants","Minimum Duration","Maximum Duration","Minimum Cost","Maximum Cost","Facilitation?","","","","","","Stages","Stages (other)","","","","","","","","","",""
"Citizen Budget","Scott Fletcher","","Problems and Purpose""Citizen Budget"" is an innovative online tool to improve your public budget consultations. Our customizable budget simulator is at the cutting edge of online engagement and educates your residents about government services, budget...","Sun, 02/28/2016 - 18:45","","","","","","","No","Express opinions/preferences only","","Consultation (i.e. to advise decision makers)","Open to all","Express opinions/preferences only","","","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Distributing Individual Material Goods","Consultation (i.e. to advise decision makers)","Preference Articulation","","","","","For Profit Business","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Citizen Conferences","sxt5105","","DefinitionCitizen Conferences allow for citizens to deliberate and provide policy recommendations for a government entity.  The government entity can then use these recommendations to better meet the needs of its citizens.ParticipantsThe participants in...","Wed, 11/28/2012 - 07:56","6","18","1 Day","1 Day","","","Yes","Discussion, Dialogue, or Deliberation","","Co-governance (i.e. to share decision making with public authorities)","Random Selection","Discussion, Dialogue, or Deliberation","","Explaining purpose of the event, question-and-answer session, deliberation, presentation to the public","Regional (e.g. State, Province, Autonomous Region)","Achieving Public Goods","Co-governance (i.e. to share decision making with public authorities)","Decision-Making, Implementation","3 - Somewhat Polarized","2 - Seldom Tied to Other Issues","3 - Somewhat Complex","","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial), Academic Institution"
"Citizen Councilor Network","Jspady","","The Citizen Councilor Network is overseen by the King County Auditor's Office in Seattle.This method is used in support of the Countywide Community Forums (of King County).NotesThe cost to conduct a ""round"" of the network is highly variable. The more...","Wed, 12/09/2009 - 01:18","4","40","21","45","","US$30","No","","","Raise public awareness","Open to all","","","Deliberation","","Achieving Public Goods, Addressing Identity-Based Issues, Providing Social Goods","Raise public awareness","Conflict Resolution, Preference Articulation","4 - Polarized","4 - Often Interdependent with Other Issues","","","Regional Government (e.g. State, Provincial, Territorial), Community Based Organization","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Individual"
"Citizen Dialogue","richards1000","Citizen Dialogue -- also called ""Citizens' Dialogue"" -- is a public deliberation method created by Canadian Policy Research Networks. The Citizen Dialogue method is based on Viewpoint Learning's Choicework Dialogue method.","DefinitionCitizen Dialogue -- also called Citizens' Dialogue -- is a public deliberation method created by Canadian Policy Research Networks. The Citizen Dialogue method is based on Viewpoint Learning's Choicework Dialogue method. In Citizen Dialogue a...","Fri, 07/13/2012 - 23:25","20","20","8 hours","12 hours","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Random Selection","Discussion, Dialogue, or Deliberation","","","National","Achieving Public Goods","Consultation (i.e. to advise decision makers)","","","","","","",""
"Citizens' Initiative Review","richards1000","A Citizens’ Initiative Review (CIR) is a Citizens’ Jury that deliberates about a ballot initiative. In a CIR, organizers select a panel, made up of a random sample of 18-24 citizens, who are demographically representative of the population. The panelists meet for five days to learn and deliberate about a ballot initiative—a proposed law or constitutional amendment that is drafted by, and can be enacted by a direct vote of, citizens—that will be voted on in an upcoming election.","DefinitionA Citizens’ Initiative Review (CIR) is a Citizens’ Jury that deliberates about a ballot initiative. In a CIR, organizers select a panel, made up of a random sample of 18-24 citizens, who are demographically representative of the population. The...","Tue, 05/29/2012 - 13:11","18","24","4 days","6 days","","","Yes","","","","","","","","","","","Decision-Making","5 - Very Polarized","4 - Often Interdependent with Other Issues","4 - Quite Complex","","Non-Governmental Organization (Non-profit)","Regional Government (e.g. State, Provincial, Territorial)"
"Citizens' Jury","Madifish","","A Citizens’ Jury is composed of a group often of around 18-24 randomly selected citizens, representative of the demographics in the area, that come together to deliberate on an issue. Over the period of 4-7 days the jury hears from expert witnesses that...","Fri, 05/21/2010 - 17:06","18","24","4","7","US$35","US$160","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Random Selection","Discussion, Dialogue, or Deliberation","","Trust Building","Regional (e.g. State, Province, Autonomous Region)","Achieving Public Goods","Consultation (i.e. to advise decision makers)","Agenda Formation, Decision-Making, Preference Articulation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Local Government (e.g. Village, Town, City), Community Based Organization","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)"
"Citizens' Reference Panel","richards1000","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Wed, 07/18/2012 - 21:35","24","36","","","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Random Selection","Discussion, Dialogue, or Deliberation","","Learning, Meeting the Public, Deliberation","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods, Providing Social Goods","Consultation (i.e. to advise decision makers)","Decision-Making, Preference Articulation","4 - Polarized","4 - Often Interdependent with Other Issues","4 - Quite Complex","","For Profit Business","Local Government (e.g. Village, Town, City), Community Based Organization, Non-Governmental Organization (Non-profit)"
"Citizens’ Assembly","Plscully","","This is a stub. Please help us flesh out this description. See the section below on ""secondary sources"" for a few places to start gathering information.The following is a suggested structure. We recommend users follow these headings to make it easier to...","Thu, 07/02/2015 - 09:32","","","","","","","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Random Selection","Discussion, Dialogue, or Deliberation","","","","","Consultation (i.e. to advise decision makers)","","","","","","",""
"Civic Education","Scott Fletcher",""," Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Lessons Learned Secondary Sources External Links Notes ","Sat, 01/30/2016 - 09:17","","","","","","","No","Discussion, Dialogue, or Deliberation, Express opinions/preferences only, Listen/watch as spectator, Informal Social Activities","","Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all","Discussion, Dialogue, or Deliberation, Express opinions/preferences only, Listen/watch as spectator, Informal Social Activities","","","","Providing Social Goods","Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","","","","","","",""
"Civic Lottery","Crazzarc","","A civic lottery, a popular term for the contemporary use of sortition or allotment, refers to a lottery-based method for selecting citizens for public service or office. It is based on the premise that citizens in a democracy have both a duty and the...","Tue, 02/23/2010 - 20:24","5","","","","US$8000","","No","","","","Random Selection","","","Trust Building","International","","","","5 - Very Polarized","","","","National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Academic Institution, Community Based Organization",""
"Collaborative Design","OmayraRivera","Design with the people instead of design for the people","The following is a suggested structure. We recommend users follow these headings to make it easier to compare and analyze entries.Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence,...","Tue, 04/26/2016 - 01:27","","","","","","","No","","","","","","","","","","","","","","","","",""
"Collaborative Governance","Ed Pastore","","Collaborative governance is a young, emerging form of governance being developed to adapt the traditional aims of direct democracy with the new capabilities presented by the internet. Practical development of this governance method is being undertaken by...","Sun, 02/07/2010 - 16:36","1","","1","","","","No","Discussion, Dialogue, or Deliberation","","Make public decisions (i.e. exert direct authority)","Open to all","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","Achieving Public Goods","Make public decisions (i.e. exert direct authority)","Agenda Formation, Conflict Resolution, Decision-Making, Preference Articulation","3 - Somewhat Polarized","3 - Sometimes Interdependent on Other Issues","","","Other","Other"
"Collaborative Planning","Tyler Carlson","","(Note: This article is a stub and requires further elaboration and editing)DefinitionCollaborative planning is a conceptual framework for resolving complex, multi-stakeholder planning scenarios. This approach is often applied to planning cases for the...","Mon, 05/16/2016 - 00:59","6","75","","","","","Yes","Discussion, Dialogue, or Deliberation","","","","Discussion, Dialogue, or Deliberation","","","","","","","","","","","",""
"Communities Creating Racial Equity Initiative","Ashlep3","","DefinitionEveryday Democracy is an organization whose mission is “to help communities develop their own ability to solve problems by exploring ways for all kinds of people to think, talk and work together to create change.” Their goal is to address many...","Fri, 06/04/2010 - 16:53","10","3","720","720","US$10","US$90","Yes","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers)","Open to all","Discussion, Dialogue, or Deliberation","","Deliberation","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Providing Social Goods","Consultation (i.e. to advise decision makers)","Decision-Making","2 - Not Very Polarized","5 - Always Tied to Other Issues","","","Community Based Organization","Community Based Organization, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts)"
"Community Auditing","Carolina","","","Sun, 01/17/2010 - 20:56","","","","","","","No","","","","","","","","","","","","","","","","",""
"Community Organizing","epan","","Note:  This article is in need of assistance with content and editing.  Please help us compete it. ","Fri, 07/06/2012 - 12:13","","","","","","","No","","","","","","","","","","","","","","","","",""
"Community-based participatory research","Sarena Seifer",""," Community-based participatory research is a ""collaborative approach to research that equitably involves all partners in the research process and recognizes the unique strengths that each brings. CBPR begins with a research topic of importance to the...","Fri, 12/30/2011 - 11:17","","","","","","","No","","","","","","","","","","","","","","","","",""
"Conselho Nacional de Saúde - National Health Council","Scott Fletcher","","DefinitionThe CNS is an organ linked to the Ministry of Health and consists of representatives of organizations and users, organizations representing health care workers, government and health service providers, and its chairman is elected from among the...","Wed, 02/10/2016 - 20:24","","","","","","","No","Discussion, Dialogue, or Deliberation","","Consultation (i.e. to advise decision makers), Make public decisions (i.e. exert direct authority), Collaborative delivery of services with public authorities","Open to all with targeted recruitment, Election, Appointment","Discussion, Dialogue, or Deliberation","","","National","Achieving Public Goods, Providing Social Goods","Consultation (i.e. to advise decision makers), Make public decisions (i.e. exert direct authority), Collaborative delivery of services with public authorities","","","","","","",""
"Consensus","Plscully","","This is a stub. We need a general overview that defines consensus as a generic method (for example, as compared to the specific use of consensus in a ""consensus council.""Definition Problems and Purpose History Participant Selection Deliberation,...","Sat, 11/10/2012 - 14:28","","","","","","","No","","","","","","","","","","","","","","","","",""
"Consensus Conference","Krameraspiri",""," Main Idea and Significance:The public’s opinion and support behind significant topics in specified fields is essential to deriving a common good for society. The ideology protruding behind consensus conferences redefines the path to arrive at a public...","Thu, 06/03/2010 - 09:35","10","20","2","3","US$70","US$100","Yes","Discussion, Dialogue, or Deliberation","","Raise public awareness","Random Selection","Discussion, Dialogue, or Deliberation","","Trust Building","","Achieving Public Goods","Raise public awareness","","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","Community Based Organization","National Government, Community Based Organization"
"ConsiderIt","Mitch Johnson","","DefinitionConsiderIt is an internet-based platform that stems from the basis of personal deliberation into a form of public deliberation. It allows users to examine trade-offs and the vantage points of other users on proposed actions such as ballot...","Wed, 02/29/2012 - 20:01","1","No Maximim","No Minimum","No Maximum","","","No","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only, Listen/watch as spectator","","Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Open to all","Discussion, Dialogue, or Deliberation, Negotiate & Bargain, Express opinions/preferences only, Listen/watch as spectator","","","Regional (e.g. State, Province, Autonomous Region)","Achieving Public Goods, Addressing Identity-Based Issues","Raise public awareness, Community building (e.g. social capital), Develop individual capacities (e.g. skills, learning)","Co-Production, Conflict Resolution, Decision-Making","4 - Polarized","4 - Often Interdependent with Other Issues","4 - Quite Complex","","Academic Institution, Non-Governmental Organization (Non-profit)","Regional Government (e.g. State, Provincial, Territorial), Academic Institution, Community Based Organization"
"ConsiderIt","KatieKnobloch","ConsiderIt is an open source platform that encourages users to engage in thoughtful discussion across difference on complex issues. The 2010 Washington state Living Voters Guide was the first project to implement the ConsiderIt platform. It aims to decrease polarization and increase communication that encourages participants to find a common ground with one another and reach a common understanding about the benefits and consequences of public issues.","DefinitionConsiderIt is an open source platform that encourages users to engage in thoughtful discussion across difference on complex issues. The 2010 Washington state Living Voters Guide was the first project to implement the ConsiderIt platform. It...","Fri, 12/02/2011 - 14:42","","","","","","","No","","","","","","","","","","","","","","","","",""
"Constitution","alexlinsker","","DefinitionA Constitution is the top-most governing document of an organization. It defines the various types of autonomy (the roles) people have. It limits powers of the main leaders. It allows for amendments. It provides various rights either implicitly...","Fri, 07/13/2012 - 00:03","","","","","","","No","","","","","","","","","","","","","","","","",""
"Conversation Cafes","Yunakim",""," Definition 
Conversation Cafes are openly hosted conversations in local coffee shops, but are also widely entertained inside, but not limited to, restaurants, conference rooms, churches, and classrooms. This participatory method was intentionally...","Tue, 12/07/2010 - 05:17","3","10","1","1","","","Yes","","","Develop individual capacities (e.g. skills, learning)","Open to all","","","Initial Preference Aggregation","","Providing Social Goods","Develop individual capacities (e.g. skills, learning)","Preference Articulation","5 - Very Polarized","4 - Often Interdependent with Other Issues","","","Individual","Individual"
"Crowdsourcing","Cactullus","","Crowdsourcing is a new phenomenon in which an organization calls upon both professionals and amateurs on the internet to help solve a problem, design a product, or analyze large amounts of data at a lower cost and often greater quality and speed than...","Tue, 12/07/2010 - 04:32","1","10000000000","1","1000","","US$1000000","Yes","Discussion, Dialogue, or Deliberation","","Raise public awareness","Open to all","Discussion, Dialogue, or Deliberation","","Decision-Making","International","Providing Social Goods","Raise public awareness","Co-Production, Decision-Making, Implementation","1 - Not Polarized","2 - Seldom Tied to Other Issues","","","Other","Other"
"Deebase - e-deliberation made easy","AlbertoLusoli","Since the emergence of the so called Web2.0, internet technologies have greatly expanded the possibilities for people to interact and discuss; but how many times have we found ourselves trapped in endless debates about everyday facts? Social networks have greatly contributed in re-shaping the idea of online interactions, but their outcomes are, most of the time, a clashing chorus of lonely voices unable to listen to each other giving rise to unfruitful exchanges of ideas. From this point of view, web-mediated interactions are still far from being efficient means of communication, confrontation and, in the end, a means for effective decision making. It’s from the analysis of current practices in online interactions that we came up with the idea of Deebase: a CMS aimed at supporting communities in fostering the exchange of ideas among their members, turning chaotic interactions into full-fledged debates.","IntroductionSince the emergence of the so called Web2.0, internet technologies have greatly expanded the possibilities for people to interact and discuss; but how many times have we found ourselves trapped in endless debates about everyday facts? Social...","Mon, 08/26/2013 - 03:07","10","","","","","","No","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Raise public awareness, Community building (e.g. social capital)","Open to all, Open to all with targeted recruitment","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","","International","Achieving Public Goods, Addressing Identity-Based Issues","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities), Raise public awareness, Community building (e.g. social capital)","Co-Production, Decision-Making, Preference Articulation","","3 - Sometimes Interdependent on Other Issues","3 - Somewhat Complex","","International Organization, National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Community Based Organization, Non-Governmental Organization (Non-profit), Government-Owned Corporation, For Profit Business","International Organization, National Government, Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City), Academic Institution, Community Based Organization, Non-Governmental Organization (Non-profit), Philanthropic Organization (i.e. dedicated to making monetary grants or gifts), Government-Owned Corporation, For Profit Business"
"Delegated Voting","Paul Nollen","","
--Delegated Voting-- 
Also called Proxy voting or Liquid_Democracy
Imagine delegating your vote on health issues to a trusted family physician. And that she gives all the votes delegated to her second year medical ethics professor. And by checking on...","Wed, 09/29/2010 - 10:22","","","","","","","No","","","","","","","","","","","","","","","","",""
"Deliberation","Alli Welton","","Definition Problems and Purpose History Participant Selection Deliberation, Decisions, and Public Interaction Influence, Outcomes, and Effects Analysis and Criticism Secondary Sources External Links Notes ","Wed, 04/11/2012 - 10:20","","","","","","","No","","","","","","","","","","","","","","","","",""
"Deliberation day","Jkim0802","","Definition""Deliberation Day - a new national holiday."" [1] With this statement Bruce Ackerman and James Fishkin were the first to propose Deliberation Day (DDay) as a method for having citizens deliberating 2 weeks before the national elections for 2...","Tue, 12/07/2010 - 00:20","15","70","1","2","US$993","US$2","No","Discussion, Dialogue, or Deliberation","","Raise public awareness","Random Selection","Discussion, Dialogue, or Deliberation","","Initial Preference Aggregation","","Addressing Identity-Based Issues","Raise public awareness","Agenda Formation","2 - Not Very Polarized","3 - Sometimes Interdependent on Other Issues","","","National Government","National Government"
"Deliberative Democracy","Paul Nollen","","Deliberative democracy (also called discursive democracy) is a form of democracy in which public deliberation is central to legitimate lawmaking. It adopts elements of both representative democracy and direct democracy and differs from traditional...","Sat, 02/26/2011 - 21:44","","","","","","","No","","","","","","","","","","","","","","","","",""
"Deliberative Democracy and Citizens' Juries","Paul Nollen","","A citizens' jury can be a good model of participatory decision making that allows the voices of the most marginalised, and yet most affected by development policies, to be heard and included. But to be truly valuable and to ensure that the Citizens'_Jury...","Mon, 09/13/2010 - 12:43","","","","","","","No","","","","","","","","","","","","","","","","",""
"Deliberative Polling","Swdgray","","Deliberative Polling is a unique form of political consultation that combines techniques of public opinion research and public deliberation to construct hypothetical representations of what public opinion on a particular issue might look like if citizens...","Fri, 11/06/2009 - 22:49","130","450","1","2","US$10","US$50","Yes","","","Develop individual capacities (e.g. skills, learning)","Random Selection","","","Initial Preference Aggregation","","Achieving Public Goods, Distributing Individual Material Goods, Providing Social Goods","Develop individual capacities (e.g. skills, learning)","Agenda Formation, Decision-Making, Preference Articulation","3 - Somewhat Polarized","4 - Often Interdependent with Other Issues","","","National Government, Local Government (e.g. Village, Town, City)","National Government, Regional Government (e.g. State, Provincial, Territorial), Academic Institution, Community Based Organization, Philanthropic Organization (i.e. dedicated to making monetary grants or gifts)"
"Deliberatorium","mklein60","Current collective innovation technologies fail badly when dealing with complex problems and large groups. The fundamental challenge, ironically, is super-abundance: crowds generated so many ideas that it becomes difficult to manage the process and harvest the best ideas. The Deliberatorium is a web-based system that combines ideas from argumentation theory and social computing to help large numbers of people, distributed in space and time, combine their insights to find well-founded solutions for complex multi-stakeholder multi-disciplinary (""wicked"") problems.","Current collective innovation technologies fail badly when dealing with complex problems and large groups. The fundamental challenge, ironically, is super-abundance: crowds generated so many ideas that it becomes difficult to manage the process and...","Tue, 12/08/2015 - 01:36","","","","","","","No","","","","","","","","","","","","","","","","",""
"Delphi Method","Plscully","","This article is a stub. We invite you to flesh it out and make it a complete entry.Definition ""The Delphi technique is an alternative participatory method. Although it is based on iteration and feedback, it is less elaborate and resource‐intensive than...","Thu, 03/14/2013 - 11:56","","","","","","","No","","","","","","","","","","","","","","","","",""
"Demarchy","Paul Nollen","","Demarchy (or lottocracy) is a form of government in which the state is governed by randomly selected decision makers who have been selected by sortition (lot) from a broadly inclusive pool of eligible citizens. These groups, sometimes termed ""policy...","Sun, 05/22/2011 - 12:37","","","","","","","No","","","Make public decisions (i.e. exert direct authority)","Random Selection","","","Decision-Making","","","Make public decisions (i.e. exert direct authority)","","","","","","",""
"DemocracyOS","Scott Fletcher","","DefinitionOpen source software which allows citizens to:Propose - Get from zero to democracy in a click. Build proposals and be the change you want to see. Debate - Debate in a platform that rewards the best arguments and filters that noise that usually...","Thu, 02/04/2016 - 09:15","","","","","","","No","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","Open to all","Discussion, Dialogue, or Deliberation, Express opinions/preferences only","","Propose, Debate, Vote","Local (e.g. Neighbourhood, City/Town, Metropolitan Area)","Achieving Public Goods","Consultation (i.e. to advise decision makers), Co-governance (i.e. to share decision making with public authorities)","Preference Articulation","","","","","Regional Government (e.g. State, Provincial, Territorial), Local Government (e.g. Village, Town, City)","Non-Governmental Organization (Non-profit)"
