"Title","Description","Body","Annual Budget","Country","Executive Director","Fulltime Staff","Part-time Staff","Volunteer Count"
"Annenberg Institute for School Reform","","I. Purpose and Mission of the Annenberg Institute for School Reform:The purpose and mission of the Annenberg Institute for School Reform is to challenge to the nation to improve public education in America by enhancing the quality of learning for youth...","","","Dr. Warren Simmons","46","",""
"Anonymous","We are Anonymous. We are Legion. We do not forgive. We do not forget. Expect us.","Anonymous is a decentralized hacktivist collective. A variety of internet sub-cultures gave birth to the dynamic entity known as Anonymous. The term “anonymous” originally referred to any internet user in general and their anonymous online identity and...","","United States","","","","???"
"Anti-Corruption and Civil Rights Commission, Republic of Korea","","","","United States","","","",""
"APSA Task Force on Democracy, Economic Security, and Social Justice","","APSA Statement of PurposeThree recent developments have thrust issues of economic security and social justice into the public consciousness.First, the global economic crisis has brought economic insecurity home to developed countries and highlighted that...","","","","","",""
"Artworks Creative Communities","","Who we are…
Artworks Creative Communities is a Bradford-based charity and social enterprise. Since 1998 we have delivered innovative projects that use creativity as a force for change. Working with professional artists and in partnership with...","840","United Kingdom","Ged Walker (Acting CEO)","4","5","4"
"Ascentum","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External LinksAscentum, http://ascentum.com/Notes ","","United States","","","",""
"Asian Community Development Corporation","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Association for Societal Participation","Let's reboot democracy!","Mission and PurposeThe Association for Societal Participation is an international, non-partisan NGO founded in Budapest and is currently under registration. Its aim is to help create a more direct and transparent democratic form of government, using the...","","United States","","","",""
"Association Italia 150","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
" Associative Action (l'action associative)","As of June 2014 Action Associative began working on introducing participatory budgeting in four Tunisian municipalities. Its mission is to increase citizens’ trust in local authorities and to improve transparency. The European Endowment for Democracy (EED) is supporting the fourth phase of a pilot project where citizens will decide themselves how to allocate part of the municipal budget.","The following is a suggested structure. We recommend users follow these headings to make it easier to compare and analyze entries.Mission and PurposeAs of June 2014 Action Associative began working on introducing participatory budgeting in four Tunisian...","","Tunisia","","","",""
"Auckland Council","The Auckland Council is the council for the Auckland Region in New Zealand. It began operating on 1 November 2010, combining the functions of the existing regional council and the region's seven previous city and district councils into one ""super council"" or ""super city"" governed by a mayor, 20 members of the governing body and 148 members of 21 local boards.","  ","","New Zealand","","","",""
"Australian Department of Education, Employment and Workplace Relations","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Australian Study Circles Network ","The Australian Study Circles Network Pty Ltd (ASCN) is a central resource for those who want to learn about study circles or organise a Dialogue to Change (D2C) program in Australia.  

Dialogue to Change programs are based on the internationally recognised study circle method and the work of Everyday Democracy in the US, but customised for an Australian context.

Dialogue to Change programs involve a community dialogue that helps people explore complex issues, make decisions and take action. It begins with community organising and is followed by facilitated, small group dialogue that leads to change. Study circles don’t advocate a particular solution. Instead, they welcome many points of view around a shared concern.","Mission and Purpose  Helping communities find ways for all kinds of people to think, talk and work together to solve problemsThe Australian Study Circles Network Pty Ltd (ASCN) is a central resource for those who want to learn about study circles or...","","Australia","Dr. Mark Brophy (Founder) and Mary Brennan","","2",""
"Backbone Campaign","The Backbone Campaign is a progressive, non-profit organization based on Vashon Island, Washington, whose goal is to inspire social change through political commentary, via highly visible “actions.”   According to the Campaign’s website, “The Backbone Campaign is a grassroots effort to embolden citizens to stand up for progressive values. We are expanding the political dialogue by providing creative tools for citizens and the progressive movement. The backbone symbolizes an interlocking agenda, a coalition, and the personal courage necessary to fight for a future worthy of our children.”","Mission and PurposeThe Backbone Campaign’s goal is to give a voice to community members and the masses, alike, by way of “Artful Activism” (Backbone Campaign).  Through the teaching of non-violent techniques and strategies, the Backbone Campaign looks...","","United States","Bill Moyer","","",""
"Balkan Assist","","""Balkan Assist"" is a Bulgarian non-for-profit association established in 2000 uniting individuals and organizations working for the development of the civil society. A part of the members are direct participants in the Program for Cooperation with the...","","","","","",""
"Ballot Initiative Strategy Center","","BasicsAn Overview of Ballot MeasuresBallot measures are powerful policy-making, messaging, and political tools – and also a permanent part of the process in the 24 initiative states.In recent years, initiatives have been used by well-funded, right-wing...","","","","","",""
"Bertelsmann Stiftung","From the Bertelsmann website: ""In keeping with the longstanding social commitment of its founder, Reinhard Mohn, the Bertelsmann Stiftung is dedicated to serving the common good. Our work is based on the conviction that competition and civic engagement are essential for social progress.""","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","Germany","","","",""
"BetterMeans.org","","Imagine companies without managers or employees. Just contributors. You decide what work you do, when you do it, and how. Contribution determines your ownership, not job titles or office politics. Problems are solved collaboratively. Quickly. Efficiently...","","","","","",""
"Black Rock City LLC","Black Rock City LLC is the central organizing body behind the annual Burning Man festival. It was established in 1997, after the event grew so large that a more formal management structure became necessary.","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","$10-20 million","United States","Larry Harvey","","",""
"Black Sash","The Blash Sash is a non-governmental organisation that aims to promote the realisation of human rights in South Africa. It monitors government progress in this regard, particularly to ensure access for the poor and vulnerable populations. Their mission is to work towards a South Africa where the constitution is upheld and human rights are recognized in law and respected in practice and the government is accountable and responsive to the people."," Mission and PurposeThe Blash Sash is a non-governmental organisation that aims to promote the realisation of human rights in South Africa. It monitors government progress in this regard, particularly to ensure access for the poor and vulnerable...","","","","","",""
"Boston's Metropolitan Area Planning Council","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Bush Radio","","OverviewSouth Africa’s revolutionary radio station, Bush Radio, contributes to society with its inclusive and deliberative media processes, as well as through its many outlets of community involvement. Bush Radio combines a unique amalgam of music and...","","South Africa","","15","","100"
"By the People","","Purpose and MissionBy the People works with community organization, colleges and the Public Broadcasting Service (PBS) to create events for citizens, that normally do not interact with each other, to takes their views about issues of the day and...","","","Gail Leftwich Kitch","3","",""
"California Citizen's Redistricting Commission","The California Citizens Redistricting Commission is a redistricting organization for the state of California. It is responsible for determining the Senate, Assembly, and Board of Equalization district boundaries throughout the state. The 14-member commission consists of five Democrats, five Republicans, and four others from neither major party. The commission was created following the passage of Proposition 11, the Voters First Act, in November 2008.","Mission and PurposeThe California Citizens Redistricting Commission is a political redistricting organization that operates on behalf of the state of California. Its main responsibilities include evaluating the 2010 United States Census in order to...","$1,000,000+","United States","Daniel Claypool","14","0","0"
"California Citizens Redistricting Commission","The California Citizens Redistricting Commission is a redistricting organization for the state of California. It is responsible for determining the Senate, Assembly, and Board of Equalization district boundaries throughout the state. The 14-member commission consists of five Democrats, five Republicans, and four others from neither major party. The commission was created following the passage of Proposition 11, the Voters First Act, in November 2008.
-","Mission and PurposeThe California Citizens Redistricting Commission is a political redistricting organization that operates on behalf of the state of California. Its main responsibilities include evaluating the 2010 United States Census and determining...","","United States","Daniel Claypool","14","0","0"
"Canadian Community for Dialogue and Deliberation","","Mission and PurposeAccording to the Canadian Community for Dialogue and Deliberation (C2D2) website, the organization's mission is ""to increase our society’s capacity to have constructive conversations to enhance decision- making and collaborative action...","","Canada","actively recruiting","12","50",""
"Canadian Policy Research Networks (CPRN)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External LinksCanadian Policy Research Networks [archived site], http://cprn.org/Notes ","","United States","","","",""
"Center for Communication and Civic Engagement","","DefinitionThe Center for Communication and Civic Engagement (CCCE) is a Seattle, WA-based organization whose mission is to understand “communication processes and media technologies that facilitate positive citizen involvement in politics and social life...","","United States","Lance Bennett ","","",""
"Center for Engaged Democracy","","Mission and PurposeThe Center for an Engaged Democracy acts as a central hub for developing, coordinating, and supporting academic programs – certificates, minors, and majors – around the country focused on civic and community engagement, broadly defined...","","United States","","","",""
"Center for Nanotechnology in Society at Arizona State University (CNS-ASU)","CNS-ASU is an NSF-funded research center which explores the societal aspects of nanotechnologies and seeks to build capacity for anticipatory governance.","Mission and PurposeThe guiding conceptual goals of CNS-ASU are two-fold: to increase reflexivity within the nanotechnology enterprise and to increase society’s capacity to engage in anticipatory governance of nanotechnology and other emerging...","","United States","David Guston","","",""
"Center for Substance Abuse Prevention (CSAP)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Central Information Commission, Government of India","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Centre for Citizens' participation in the African Union (CCP-AU)","","Mission and Purpose
“Guided by our common vision of a united and strong Africa and by the need to build a partnership between governments and all segments of civil society, in particular women, youth and the private sector, in order to strengthen...","","Kenya","Ibrahima Kane","","",""
"Centre for Citizenship, Globalization and Governance (C2G2)","","Mission and PurposeThe Centre for Citizenship, Globalization and Governance (C2G2) at the University of Southampton engages in 'problem-based research' on the multiple challenges to contemporary citizenship at all levels of governance. C2G2 is a core...","","United Kingdom","Gerry Stoker","","",""
"Centre for Civil Society, India",""," Mission and Purpose 
The Centre for Civil Society is an independent, non-profit, research and educational organisation devoted to improving the quality of life for all citizens of India by reviving and reinvigorating civil society.

 External Links...","","India","Dr Parth J Shah","","",""
"Centre for Civil Society, UK","","Mission and PurposeThe Centre for Civil Society (CCS) is an international organisation for research, analysis, debate and learning about civil society. It is based within the Department of Social Policy at the London School of Economics. Established...","","United Kingdom","Jude Howell","","",""
"Centre for Lifelong Learning and Community Engagement","","Mission and PurposeThe Centre for Lifelong Learning builds upon teaching, learning and research projects within the Department of Professional and Community Education (PACE), and works with colleagues in other departments and centres at Goldsmiths, to:...","","United Kingdom","Professor Marjorie Mayo and Professor Len Platt","","",""
"Centre for Public Involvement","","Mission and PurposeThe Centre for Public Involvement (CPI) was created by the University of Alberta and the City of Edmonton and is funded equally by both partners. The CPI is dedicated to leadership and excellence in the theory and practice of public...","120","","Fiona Cavanagh","2","1","75"
"Centre for Research on Direct Democracy (c2d)","","Centre for Research on Direct Democracy (c2d)The c2d is an academic research center dedicated to the study of direct democratic institutions (referendum and initiative) around the world, their history, legal nature, functioning and political implications...","","","","","",""
"Centre for the Study of Democracy","","The Centre for the Study of Democracy (CSD) at the University of Westminster undertakes research in a range of critical challenges to the theory and practice of democracy. Established in 1989, CSD continues to sustain an international reputation for...","","United Kingdom","","","",""
"Change Makers","","Mission and PurposeChangeMakers develops the capacity and skills of people from disadvantaged communities across England. Using broad-based community organising and leadership traning, it enables people to identify and meet their needs, so that they can...","","United Kingdom","Mark Waters","4","2",""
"Chicago Police Department","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Chicago Public Schools: Local School Councils","","Chicago Local School Councils Mission and PurposeThe Chicago Local School Council is a deliberative process used by the schools of Chicago, Illinois in order to discuss and come to conclusions of how to improve the schools, allocate funds, discuss long-...","500","","Chicago Principals","3","3","8"
"CIDADE Urban Studies and Advisory Center","","In the end of the 80’s, Brazil was living one of the richest discussion periods in its political life. Among the discussed topics, Urban Reform appeared as an important issue, present in the agenda of great part of the social movements.The idea of...","70000","","João Rovati","4","1","1"
"Citizen's Voice: Analysis of the prospects of deliberative democracy in Finnish health care","The plan of this four-year research project (2011-2014), funded by the Academy of Finland, is to critically investigate the many-sided elements of deliberative democracy within the framework of complex health care issues, in the Finnish context. The project is carried out at the Social and Health Management Department at the Faculty of Philosophy at the University of Vaasa.","The plan of this four-year research project (2011-2014), funded by the Academy of Finland, is to critically investigate the many-sided elements of deliberative democracy within the framework of complex health care issues, in the Finnish context. The...","","Finland","","","",""
"CitizenLab","CitizenLab is a civic engagement platform on which citizens co-create their city. The platform facilitates a two-way communication between the city and its citizens. Citizens post ideas, discuss them with each other and upvote the best ideas — in a fun and easy accessible way. On the other hand, the city uses CitizenLab to consult the opinion of its citizens via polling or to ask their creative solutions to an existing problem. Our SaaS solution helps cities to tap into the collective intelligence of the citizens and become more responsive to their citizens’ needs.","About CitizenLabCitizenLab is a civic engagement platform on which citizens co-create their city. The platform facilitates a two-way communication between the city and its citizens. Citizens post ideas, discuss them with each other and upvote the best...","","","","","",""
"Citizens","","Íbúar.is CITIZENSShort history of Skuggaþing (Shadow Parliament) and Betri Reykjavík (Better Reykjavík)In the last (2010) municipal elections in Reykjavík, the capital city of Iceland, almost 10% of the voting population took part in the majority talks...","","Iceland","","","",""
"Citizens For Democracy, Pakistan","Citizens for Democracy (CFD) is a civil society group in Pakistan. This organization, formed in 2010, was founded by individuals and groups upset by numerous incident involving the misuse and abuse of the ‘blasphemy laws’ and religion in politics. This organization is a combination of many groups and organizations throughout Pakistan. These groups include: Professionals, NGO’s, trade unions, student unions, political parties, and individuals. Citizens for Democracy works to promote the principles created by the Charter of Democracy and hopes to build upon the work of the 18th Amendment, political parties and stake holders. stakeholders.","Mission and Purpose            One of Citizens for Democracy primary objectives is to create a democratic culture in Pakistan. Part of this focus includes work to counteract religion in politics and state affairs. To do this they must call upon all of...","Unknown","Pakistan","Unknown","","",""
"Citizens for Direct Democracy","","Citizens for direct Democracy is the political task force of Democratie nu (not for profit)Less than 1 on 5 Belgian citizens has still faith in politicians. Would you let such a team take care of your income and your family budget? Probably not... And...","","Belgium","Paul Nollen","","",""
"Citizens For Europe","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Citizens in Charge","","Citizens in Charge is a 501 (c) (4) citizen-powered advocacy organization that serves as a partner to Citizens in Charge Foundation in protecting and expanding the initiative and referendum process.The organization works with activists, legislators,...","","","","","",""
"Citizens in Chargee","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Citizens' Council","","Mission and Purpose
The Citizens' Council, formally referred to as the White Citizens Council, was a white supremacist group created in the South. The Council was formed in the 1950s after the Supreme Court outlawed school segregation in Brown v. Board...","300","","Gordon Baum","","",""
"Citizenship DRC","","Purpose and MissionThe Development Research Centre on Citizenship, Participation and Accountability (Citizenship DRC) is a ten-year international research programme exploring new forms of citizenship that will help make rights real. We are comprised of a...","","","","","",""
"Citizenship Foundation",""," Mission and Purpose 
The Citizenship Foundation is an independent education and participation charity that exists to encourage and enable individuals to play an effective role in democratic society.
Their vision is of a just, inclusive and cohesive...","","United Kingdom","Tony Breslin","","",""
"Citizens’ Initiative and Referendum","","I&RGB We want more and better democracy with town meetings for public debate, the citizens' law-proposal (initiative), the veto-referendum to keep government in ""check"" plus the right to sack (recall) the MP whom we elected. To achieve reform like...","","United States","","","",""
"City of Burnsville","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Dresden","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Hampton","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of La Plata","","","","United States","","","",""
"City of Moscow (Idaho)","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Philadelphia","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Pittsburgh","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"City of Portland","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Rosario (Argentina)","","The Socialist Party has governed the city of Rosario since 1989. The fact that the Socialist Party has stayed in power for so long is indicative of a path that the city has been following for 20 years. Based on the vision of a long term colective project...","","United States","","","",""
"City of Solingen","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"City of Toronto","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Cité des Sciences et de l´Industrie, Paris, France","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Civic Alliance to Rebuild Downtown New York","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"CIVICUS: World Alliance for Citizen Participation","","CIVICUS: World Alliance for Citizen Participation is an international network of civil society promoting members, partners and most significantly, organizations. Since its founding in 1993, the group has used this network to improve citizen participation..."," 2.9 million in 2007","South Africa","Ingrid Srinath","approx. 35","NA","NA"
"Code for South Africa","Code for South Africa is a civic coding organisation that believes in the usefulness of data and data sharing. The organisation’s goal is ‘to promote the release of data under an open data licence to make it available to everyone who wants it…to use liberated data to improve lives and empower people to make informed choices.’ Code for South Africa prides itself in establishing platforms that assist people in accessing useful data that can be utilised in improving people’s lives."," Mission and PurposeCode for South Africa is a civic coding organisation that believes in the usefulness of data and data sharing. The organisation’s goal is ‘to promote the release of data under an open data licence to make it available to everyone who...","","","","","",""
"Colbert Super PAC","Stephen Colbert's Colbert Super PAC: Americans for a Better Tomorrow, Tomorrow represents the next generation of civic participation in the United States. It employs the tool of mockery as protest and uses new media to mobilize previously disaffected citizens around an important issue in American politics.","Mission and PurposeThe Colbert Super PAC represents an innovative attempt to promote popular participation in a nation which was once celebrated as the example of a robust civil society,[1] but more recently has experienced a decline in civic engagement...","Unlimited potential","United States","","","","160,000 (as of 2011)"
"Collective Agency","Collective Agency is a representative democracy business located in Portland Oregon. Revenue is from rent by members. There are more than 50 members and growing, and many forms of civic engagement, from Lightning Talks to council and civics meetings, yoga to advice. There is a Constitution, a 2-house system, the right to make amendments, elections, and more. 

Alex Linsker, who started it June 15th 2011, was term-limited as the main community organizer; he transferred control on June 15th 2012 to Fitz Ryland, who was elected by members.","Mission and PurposeA supportive and nurturing place to work alongside people doing work they’re passionate about and committed to.HistoryCollective Agency is a representative democracy business located in Portland Oregon.Alex Linsker, who started it June...","$200,000","United States","Fitz Ryland","1","2","50"
"Colorado State University Center for Public Deliberation","The CSU Center for Public Deliberation (CPD) serves as an impartial resource for the Northern Colorado community. It was established in 2006 within the Department of Communication Studies at Colorado State University by Martín Carcasson. The official mission statement of the CPD is, “To promote the development of a vibrant deliberative democracy in Northern Colorado.” Working as an affiliate of the National Issues Forum network (www.nifi.org), part of the National Coalition for Dialogue and Deliberation (www.ncdd.org) and the University Network for Collaborative Governance (http://www.policyconsensus.org/ uncg/index.html), the CPD organizes and hosts many events in the local community, including public forums on national and local issues and various workshops tied to public participation, collaborative goverance, and civic engagement. The CPD trains students as non-partisan facilitators and conveners focused on helping the local community come together and address critical issues more effectively. Deliberation requires safe places for citizens to come together, good and fair information to help structure the conversation, and skilled facilitators to guide the process. The CPD is dedicated to providing these three key ingredients to Northern Colorado.","Mission and Purpose The CPD is dedicated to enhancing local democracy through improved public communication and community problem solving. It has three primary goals:To Enhance the Local Civic Culture Increase citizen participation in community problem...","","United States","Martin Carcasson","","3 plus 30 students","10"
"Colorado's Future Institute on the Common Good at Regis University","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Comedie","","Comédie (Concertation, mediation, environment) is a program created by two associations: Geyser and AFIP, with the support of the Foundation of France. On the http://www.comedie.org site, Comédie has a data basis of about 300 experiences of stakeholders...","","France","Pierre-Yves Guihéneuf and Alexandra Villaroel","","",""
"Committee on Social Inclusion and Participative Democracy","","The Committee on Social Inclusion and Participative Democracy aims to encourage the exchange of experiences on social inclusion policies in cooperation with organized civil society. The UCLG Committee brings together cities that have been active in the...","","Spain","Ricard Gomà (Chair)","","",""
"Communica Public Affairs","","Mission and PurposeCommunica’s experienced communication team provides clients with a full range of strategic services to achieve effective communication across all business units. Our communication team works closely with our Aboriginal Engagement and...","","","","","",""
"Community Audit & Evaluation Centre","","What is CAEC?The Community Audit and Evaluation Centre undertakes participatory research and evaluations of services and organisations for example Local Authorities, Single Regeneration Budget (SRB) Partnerships, Health Care Trusts, the Private and...","","United Kingdom","Carol Packham","5","",""
"Community Capacity Builders","","Mission and PurposeTo enable communities to manage change and development by building community capacity and creating a culture of active citizenship.HistoryCommunity Capacity Builders was established in January 2005 with support from the University of...","","Australia","","","",""
"Community First",""," Mission and Purpose 
Community First is a charity that works with the community to help improve the quality of life and economic well being of people and local communities throughout Wiltshire and Swindon.
They work in close partnership with local grass...","","","Philippa Read","","",""
"Community Places","Community Places is a not for profit organisation and a registered Charity.","Mission and PurposeCommunity Places- provides advice on planning issues for community groups and individuals;- supports community involvement in Community Planning;- facilitates community consultation and research; and- provides advice...","","United Kingdom","Colm Bradley ","6","1","5"
"Community Pride Unit","","Mission and PurposeCommunity Pride Unit trains and empowers some of the most excluded and marginalised people in society to have a voice. Community Pride Unit runs Schools of Participation for excluded groups in Salford and Manchester. Specializations...","","United Kingdom","Anne Stewart","2","1",""
"Community-Campus Partnerships for Health","","","","United States","","","",""
"Conetica","www.conetica.it
www.andreagelao.it","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","Italy","","","",""
"Consense",""," Mission and Purpose 
Consense specialises in online consultation.
Their systems help involve the community in an accessible, interactive and auditable way.

 External Links 
Consense","","","Bob Woolliams","14","",""
"Conservation of Flora and Fauna (COFF)","Conservation of Flora and Fauna (COFF) is dedicated to conserving threatened species and ecosystems for sake of a happier and eco-friendly future. The organization identifies the key factors threatening biodiversity and based on effective techniques, develops innovative solutions to spread a sense of kinship toward our eco-partners aimed at hindering ecocide practices. The organization believes in universal equality of rights for transparent and ethical conduct.","Mission and Purpose Conservation of Flora and Fauna (COFF) is a Non-Governmental Organization (NGO) in Pakistan registered under the Society Act 1860 and is among the pioneering platforms to have produced efficacious outcomes in preserving partridges....","","Pakistan","","","",""
"Consorcio Fernando de los Ríos","","","","United States","","","",""
"Consorzio CTTS","","","","United States","","","",""
"Course of Society, Development and Citizenship Studies - Tecnológico de Monterrey","","Mission and PurposeTo develop skills for the critical analysis of the Mexican reality, from studying individually and collaboratively the sociopolitical, economical and cultural context, with the purpose of proposing alternative solutions to issues and...","","Mexico","","","",""
"Davenport Institute for Public Engagement and Civic Leadership - Pepperdine University","","Problems and PurposeThe state of California is criticized for not being engaged enough in politics. In addition, it has some of the lowest civic engagement rates in the nation. “ Nationwide, California is ranked among the bottom five in voter...","","United States","Pete Peterson","","",""
"David Mathews Center for Civic Life","The David Mathews Center for Civic Life is an Alabama based 501(c)(3), non-profit, non-partisan, tax-exempt organization that focuses on helping citizens build deliberative decision making skills and creating opportunities for citizens to discuss issues that are important to them so that they can take action in their communities. The Mathew’s center conducts forums and workshops for communities and hosts a research internship program alongside the University of Alabama’s New College. Dr. Robert McKenzie is currently president of the Mathews Center and is also a senior associate of the Kettering Foundation. The Mathews Center receives help from federal and state organizations, as well as communities and universities within the state of Alabama to hold their programs. Topics that have been deliberated range from how to raise awareness and educate students and parents about bullying, to solving the dropout problem in Alabama.","Mission and PurposeThe David Mathews Center for Civic Life wants to educate organizations and communities on how to engage in deliberative discussion and its benefits of reaching collaborative solutions. Their mission is to, “foster infrastructure,...","$130,961 (for 2012 calendar year)","United States","Christopher McCauley","1","0","approximately 100"
"De Wakkere Burger","","De Wakkere Burger is a movement for a participatory democracy. The organization is active in the Dutch-speaking part of Belgium and is focusing on the local and regional level.
De Wakkere Burger supports, in a co-operation, participatiewiki.org, the...","","Belgium","","3","3",""
"Debategraph.org","","Debategraph is:
(1) A debate visualization tool to help groups think through complex topics by building and sharing dynamic, collaboratively-editable and ratable maps of subjects from multiple perspectives.
(2) A creative commons project to increase the...","","","","","",""
"Delib","","Mission and Purpose
This deliberative company is dedicated to helping organizations facilitate discussions with in their company or collect information and data from their organization. It is essentially a specialist online opinion research and public...","","United Kingdom","Chris Quigley","10","3",""
"Deliberative Democracy Consortium","","The Deliberative Democracy Consortium (DDC) is an association of the leading organizations and scholars who work in the field of deliberation and public engagement. The DDC represents more than 50 foundations, nonprofit organizations, and universities,...","60","","Matt Leighninger","1","","18"
"Demo-net","","DEMO-net, short for The Democracy network is a Network of Excellence research project funded by the European Commission’s sixth framework programme. The overarching objective from DEMO-net.org is to strengthen scientific, technological and social...","1","United Kingdom","Nanna Skovrup","","",""
"Democracia en Red","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Linkshttp://democraciaenred.org/index-en.html","","","Agustin Frizzera","13","",""
"Democracy In Practice",""," Democracy In Practice is an internationally-collaborative nonprofit organization focusing on democratic innovation, experimentation and capacity-building. We are working to transform how people envision democracy, and to develop innovative ways for even...","","Bolivia","","","",""
"Democracy International","","Democracy International is a network movement towards a more direct democracy in the European Union. Democracy International is founded in Brussels Belgium and is operated by a cooperation team made up of 6 members; Heiko Dittmer, Carsten Berg, Ronald...","","Belgium","Heiko Dittmer","6","",""
